Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,8.5 [4.9-12.9],Middle East,8.5
Male,1975,4.1 [1.6-8.3],Middle East,4.1
Female,1975,13.0 [6.8-21.2],Middle East,13.0
Both sexes,1976,8.8 [5.3-13.2],Middle East,8.8
Male,1976,4.3 [1.8-8.5],Middle East,4.3
Female,1976,13.5 [7.2-21.4],Middle East,13.5
Both sexes,1977,9.1 [5.6-13.4],Middle East,9.1
Male,1977,4.5 [1.9-8.7],Middle East,4.5
Female,1977,13.9 [7.6-21.7],Middle East,13.9
Both sexes,1978,9.4 [5.9-13.7],Middle East,9.4
Male,1978,4.7 [2.1-8.9],Middle East,4.7
Female,1978,14.3 [8.1-21.9],Middle East,14.3
Both sexes,1979,9.7 [6.3-13.9],Middle East,9.7
Male,1979,5.0 [2.2-9.1],Middle East,5.0
Female,1979,14.7 [8.5-22.2],Middle East,14.7
Both sexes,1980,10.1 [6.6-14.2],Middle East,10.1
Male,1980,5.2 [2.4-9.3],Middle East,5.2
Female,1980,15.1 [9.0-22.4],Middle East,15.1
Both sexes,1981,10.4 [6.9-14.5],Middle East,10.4
Male,1981,5.4 [2.6-9.6],Middle East,5.4
Female,1981,15.6 [9.5-22.8],Middle East,15.6
Both sexes,1982,10.8 [7.3-14.9],Middle East,10.8
Male,1982,5.7 [2.8-9.9],Middle East,5.7
Female,1982,16.0 [10.0-23.2],Middle East,16.0
Both sexes,1983,11.1 [7.6-15.2],Middle East,11.1
Male,1983,5.9 [3.0-10.1],Middle East,5.9
Female,1983,16.4 [10.4-23.6],Middle East,16.4
Both sexes,1984,11.5 [8.0-15.5],Middle East,11.5
Male,1984,6.2 [3.2-10.4],Middle East,6.2
Female,1984,16.9 [10.9-24.0],Middle East,16.9
Both sexes,1985,11.8 [8.3-15.9],Middle East,11.8
Male,1985,6.5 [3.4-10.7],Middle East,6.5
Female,1985,17.3 [11.4-24.3],Middle East,17.3
Both sexes,1986,12.2 [8.7-16.2],Middle East,12.2
Male,1986,6.7 [3.6-11.0],Middle East,6.7
Female,1986,17.8 [11.8-24.7],Middle East,17.8
Both sexes,1987,12.6 [9.1-16.6],Middle East,12.6
Male,1987,7.0 [3.8-11.3],Middle East,7.0
Female,1987,18.2 [12.3-25.1],Middle East,18.2
Both sexes,1988,12.9 [9.4-16.9],Middle East,12.9
Male,1988,7.3 [4.1-11.6],Middle East,7.3
Female,1988,18.7 [12.8-25.6],Middle East,18.7
Both sexes,1989,13.3 [9.8-17.3],Middle East,13.3
Male,1989,7.6 [4.3-12.0],Middle East,7.6
