Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,4.1 [2.0-7.2],Central Asia,4.1
Male,1975,2.7 [0.8-6.2],Central Asia,2.7
Female,1975,5.2 [2.1-10.4],Central Asia,5.2
Both sexes,1976,4.2 [2.1-7.3],Central Asia,4.2
Male,1976,2.8 [0.9-6.2],Central Asia,2.8
Female,1976,5.4 [2.2-10.4],Central Asia,5.4
Both sexes,1977,4.3 [2.2-7.4],Central Asia,4.3
Male,1977,2.9 [0.9-6.3],Central Asia,2.9
Female,1977,5.5 [2.3-10.4],Central Asia,5.5
Both sexes,1978,4.4 [2.3-7.4],Central Asia,4.4
Male,1978,3.0 [1.0-6.3],Central Asia,3.0
Female,1978,5.6 [2.5-10.5],Central Asia,5.6
Both sexes,1979,4.5 [2.5-7.5],Central Asia,4.5
Male,1979,3.1 [1.1-6.4],Central Asia,3.1
Female,1979,5.7 [2.6-10.5],Central Asia,5.7
Both sexes,1980,4.7 [2.6-7.5],Central Asia,4.7
Male,1980,3.2 [1.1-6.5],Central Asia,3.2
Female,1980,5.9 [2.7-10.6],Central Asia,5.9
Both sexes,1981,4.8 [2.7-7.6],Central Asia,4.8
Male,1981,3.3 [1.2-6.6],Central Asia,3.3
Female,1981,6.0 [2.9-10.8],Central Asia,6.0
Both sexes,1982,4.9 [2.8-7.7],Central Asia,4.9
Male,1982,3.4 [1.3-6.8],Central Asia,3.4
Female,1982,6.2 [3.0-10.8],Central Asia,6.2
Both sexes,1983,5.0 [2.9-7.9],Central Asia,5.0
Male,1983,3.5 [1.4-6.9],Central Asia,3.5
Female,1983,6.3 [3.1-10.9],Central Asia,6.3
Both sexes,1984,5.2 [3.1-8.0],Central Asia,5.2
Male,1984,3.7 [1.5-7.1],Central Asia,3.7
Female,1984,6.5 [3.3-11.1],Central Asia,6.5
Both sexes,1985,5.3 [3.2-8.2],Central Asia,5.3
Male,1985,3.8 [1.6-7.2],Central Asia,3.8
Female,1985,6.7 [3.4-11.2],Central Asia,6.7
Both sexes,1986,5.5 [3.4-8.3],Central Asia,5.5
Male,1986,3.9 [1.6-7.4],Central Asia,3.9
Female,1986,6.8 [3.6-11.4],Central Asia,6.8
Both sexes,1987,5.6 [3.5-8.5],Central Asia,5.6
Male,1987,4.1 [1.7-7.6],Central Asia,4.1
Female,1987,7.0 [3.7-11.6],Central Asia,7.0
Both sexes,1988,5.8 [3.6-8.7],Central Asia,5.8
Male,1988,4.2 [1.8-7.9],Central Asia,4.2
Female,1988,7.2 [3.9-11.7],Central Asia,7.2
Both sexes,1989,6.0 [3.8-8.9],Central Asia,6.0
Male,1989,4.3 [1.9-8.0],Central Asia,4.3
Female,1989,7.4 [4.1-11.9],Central Asia,7.4
Both sexes,1990,6.1 [3.9-9.1],Central Asia,6.1
Male,1990,4.5 [2.0-8.3],Central Asia,4.5
Female,1990,7.6 [4.2-12.1],Central Asia,7.6
Both sexes,1991,6.3 [4.1-9.2],Central Asia,6.3
Male,1991,4.7 [2.1-8.5],Central Asia,4.7
Female,1991,7.8 [4.4-12.3],Central Asia,7.8
Both sexes,1992,6.5 [4.2-9.4],Central Asia,6.5
Male,1992,4.8 [2.2-8.7],Central Asia,4.8
Female,1992,8.0 [4.6-12.5],Central Asia,8.0
Both sexes,1993,6.6 [4.3-9.6],Central Asia,6.6
Male,1993,5.0 [2.3-8.9],Central Asia,5.0
Female,1993,8.2 [4.7-12.6],Central Asia,8.2
Both sexes,1994,6.8 [4.5-9.8],Central Asia,6.8
Male,1994,5.1 [2.4-9.1],Central Asia,5.1
Female,1994,8.4 [4.9-12.9],Central Asia,8.4
Both sexes,1995,7.0 [4.6-10.0],Central Asia,7.0
Male,1995,5.3 [2.5-9.4],Central Asia,5.3
Female,1995,8.6 [5.1-13.2],Central Asia,8.6
Both sexes,1996,7.2 [4.8-10.2],Central Asia,7.2
Male,1996,5.4 [2.6-9.6],Central Asia,5.4
Female,1996,8.8 [5.3-13.3],Central Asia,8.8
Both sexes,1997,7.4 [4.9-10.4],Central Asia,7.4
Male,1997,5.6 [2.7-9.8],Central Asia,5.6
Female,1997,9.0 [5.5-13.6],Central Asia,9.0
Both sexes,1998,7.5 [5.1-10.6],Central Asia,7.5
Male,1998,5.8 [2.9-10.1],Central Asia,5.8
Female,1998,9.2 [5.7-13.9],Central Asia,9.2
Both sexes,1999,7.8 [5.3-10.8],Central Asia,7.8
Male,1999,6.0 [3.0-10.3],Central Asia,6.0
Female,1999,9.5 [6.0-14.1],Central Asia,9.5
Both sexes,2000,8.0 [5.5-11.0],Central Asia,8.0
Male,2000,6.1 [3.1-10.6],Central Asia,6.1
Female,2000,9.7 [6.2-14.4],Central Asia,9.7
Both sexes,2001,8.2 [5.7-11.3],Central Asia,8.2
Male,2001,6.4 [3.3-10.8],Central Asia,6.4
Female,2001,10.0 [6.4-14.7],Central Asia,10.0
Both sexes,2002,8.5 [5.9-11.6],Central Asia,8.5
Male,2002,6.6 [3.4-11.1],Central Asia,6.6
Female,2002,10.3 [6.7-15.0],Central Asia,10.3
Both sexes,2003,8.8 [6.2-12.0],Central Asia,8.8
Male,2003,6.8 [3.6-11.4],Central Asia,6.8
Female,2003,10.6 [6.9-15.3],Central Asia,10.6
Both sexes,2004,9.1 [6.5-12.3],Central Asia,9.1
Male,2004,7.1 [3.8-11.7],Central Asia,7.1
Female,2004,11.0 [7.2-15.7],Central Asia,11.0
Both sexes,2005,9.4 [6.7-12.6],Central Asia,9.4
Male,2005,7.4 [4.0-12.0],Central Asia,7.4
Female,2005,11.4 [7.5-16.1],Central Asia,11.4
Both sexes,2006,9.7 [7.0-13.0],Central Asia,9.7
Male,2006,7.7 [4.2-12.4],Central Asia,7.7
Female,2006,11.7 [7.9-16.5],Central Asia,11.7
Both sexes,2007,10.1 [7.3-13.5],Central Asia,10.1
Male,2007,8.0 [4.5-12.8],Central Asia,8.0
Female,2007,12.2 [8.2-17.0],Central Asia,12.2
Both sexes,2008,10.5 [7.6-13.9],Central Asia,10.5
Male,2008,8.3 [4.7-13.3],Central Asia,8.3
Female,2008,12.6 [8.5-17.5],Central Asia,12.6
