Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.8 [0.4-1.6],Southeast Asia,0.8
Male,1975,0.3 [0.1-0.8],Southeast Asia,0.3
Female,1975,1.3 [0.5-2.7],Southeast Asia,1.3
Both sexes,1976,0.9 [0.4-1.6],Southeast Asia,0.9
Male,1976,0.4 [0.1-0.8],Southeast Asia,0.4
Female,1976,1.4 [0.5-2.8],Southeast Asia,1.4
Both sexes,1977,1.0 [0.5-1.7],Southeast Asia,1.0
Male,1977,0.4 [0.1-0.9],Southeast Asia,0.4
Female,1977,1.5 [0.6-2.9],Southeast Asia,1.5
Both sexes,1978,1.0 [0.5-1.8],Southeast Asia,1.0
Male,1978,0.4 [0.1-0.9],Southeast Asia,0.4
Female,1978,1.6 [0.7-3.0],Southeast Asia,1.6
Both sexes,1979,1.1 [0.6-1.9],Southeast Asia,1.1
Male,1979,0.4 [0.1-1.0],Southeast Asia,0.4
Female,1979,1.7 [0.8-3.1],Southeast Asia,1.7
Both sexes,1980,1.2 [0.6-2.0],Southeast Asia,1.2
Male,1980,0.5 [0.2-1.0],Southeast Asia,0.5
Female,1980,1.8 [0.8-3.3],Southeast Asia,1.8
Both sexes,1981,1.2 [0.7-2.0],Southeast Asia,1.2
Male,1981,0.5 [0.2-1.1],Southeast Asia,0.5
Female,1981,1.9 [0.9-3.4],Southeast Asia,1.9
Both sexes,1982,1.3 [0.8-2.1],Southeast Asia,1.3
Male,1982,0.6 [0.2-1.1],Southeast Asia,0.6
Female,1982,2.1 [1.0-3.5],Southeast Asia,2.1
Both sexes,1983,1.4 [0.8-2.2],Southeast Asia,1.4
Male,1983,0.6 [0.2-1.2],Southeast Asia,0.6
Female,1983,2.2 [1.1-3.7],Southeast Asia,2.2
Both sexes,1984,1.5 [0.9-2.3],Southeast Asia,1.5
Male,1984,0.7 [0.3-1.2],Southeast Asia,0.7
Female,1984,2.3 [1.2-3.9],Southeast Asia,2.3
Both sexes,1985,1.6 [1.0-2.5],Southeast Asia,1.6
Male,1985,0.7 [0.3-1.3],Southeast Asia,0.7
Female,1985,2.5 [1.3-4.0],Southeast Asia,2.5
Both sexes,1986,1.7 [1.1-2.6],Southeast Asia,1.7
Male,1986,0.8 [0.3-1.4],Southeast Asia,0.8
Female,1986,2.6 [1.4-4.2],Southeast Asia,2.6
Both sexes,1987,1.8 [1.1-2.7],Southeast Asia,1.8
Male,1987,0.8 [0.4-1.5],Southeast Asia,0.8
Female,1987,2.8 [1.5-4.4],Southeast Asia,2.8
Both sexes,1988,1.9 [1.2-2.8],Southeast Asia,1.9
Male,1988,0.9 [0.4-1.5],Southeast Asia,0.9
Female,1988,2.9 [1.7-4.6],Southeast Asia,2.9
Both sexes,1989,2.0 [1.3-3.0],Southeast Asia,2.0
Male,1989,0.9 [0.5-1.6],Southeast Asia,0.9
Female,1989,3.1 [1.8-4.8],Southeast Asia,3.1
Both sexes,1990,2.2 [1.4-3.1],Southeast Asia,2.2
Male,1990,1.0 [0.5-1.7],Southeast Asia,1.0
Female,1990,3.2 [1.9-5.0],Southeast Asia,3.2
Both sexes,1991,2.3 [1.5-3.2],Southeast Asia,2.3
Male,1991,1.1 [0.5-1.9],Southeast Asia,1.1
Female,1991,3.4 [2.1-5.2],Southeast Asia,3.4
Both sexes,1992,2.4 [1.7-3.4],Southeast Asia,2.4
Male,1992,1.1 [0.6-2.0],Southeast Asia,1.1
Female,1992,3.6 [2.2-5.4],Southeast Asia,3.6
Both sexes,1993,2.6 [1.8-3.6],Southeast Asia,2.6
Male,1993,1.2 [0.6-2.1],Southeast Asia,1.2
Female,1993,3.8 [2.4-5.6],Southeast Asia,3.8
Both sexes,1994,2.7 [1.9-3.7],Southeast Asia,2.7
Male,1994,1.3 [0.7-2.2],Southeast Asia,1.3
Female,1994,4.0 [2.5-5.8],Southeast Asia,4.0
Both sexes,1995,2.8 [2.0-3.9],Southeast Asia,2.8
Male,1995,1.4 [0.8-2.3],Southeast Asia,1.4
Female,1995,4.2 [2.7-6.1],Southeast Asia,4.2
Both sexes,1996,3.0 [2.1-4.1],Southeast Asia,3.0
Male,1996,1.5 [0.8-2.5],Southeast Asia,1.5
Female,1996,4.4 [2.8-6.3],Southeast Asia,4.4
Both sexes,1997,3.2 [2.3-4.3],Southeast Asia,3.2
Male,1997,1.6 [0.9-2.6],Southeast Asia,1.6
Female,1997,4.6 [3.0-6.6],Southeast Asia,4.6
Both sexes,1998,3.3 [2.4-4.5],Southeast Asia,3.3
Male,1998,1.7 [1.0-2.8],Southeast Asia,1.7
Female,1998,4.8 [3.2-6.8],Southeast Asia,4.8
Both sexes,1999,3.5 [2.6-4.7],Southeast Asia,3.5
Male,1999,1.8 [1.0-2.9],Southeast Asia,1.8
Female,1999,5.1 [3.4-7.1],Southeast Asia,5.1
Both sexes,2000,3.7 [2.7-4.9],Southeast Asia,3.7
Male,2000,2.0 [1.1-3.1],Southeast Asia,2.0
Female,2000,5.3 [3.6-7.4],Southeast Asia,5.3
Both sexes,2001,3.9 [2.9-5.2],Southeast Asia,3.9
Male,2001,2.1 [1.2-3.3],Southeast Asia,2.1
