Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,19.9 [13.3-27.2],Oceania,19.9
Male,1975,13.4 [6.4-23.3],Oceania,13.4
Female,1975,26.5 [16.1-38.6],Oceania,26.5
Both sexes,1976,20.4 [14.0-27.6],Oceania,20.4
Male,1976,13.8 [6.9-23.5],Oceania,13.8
Female,1976,27.1 [17.1-38.9],Oceania,27.1
Both sexes,1977,21.0 [14.6-28.0],Oceania,21.0
Male,1977,14.3 [7.3-23.8],Oceania,14.3
Female,1977,27.8 [18.0-39.2],Oceania,27.8
Both sexes,1978,21.6 [15.3-28.5],Oceania,21.6
Male,1978,14.7 [7.8-24.1],Oceania,14.7
Female,1978,28.5 [18.9-39.6],Oceania,28.5
Both sexes,1979,22.2 [16.0-29.0],Oceania,22.2
Male,1979,15.2 [8.3-24.5],Oceania,15.2
Female,1979,29.3 [19.8-40.0],Oceania,29.3
Both sexes,1980,22.9 [16.8-29.4],Oceania,22.9
Male,1980,15.7 [8.8-24.9],Oceania,15.7
Female,1980,30.0 [20.6-40.5],Oceania,30.0
Both sexes,1981,23.6 [17.6-30.1],Oceania,23.6
Male,1981,16.3 [9.4-25.3],Oceania,16.3
Female,1981,30.7 [21.5-41.0],Oceania,30.7
Both sexes,1982,24.3 [18.2-30.7],Oceania,24.3
Male,1982,16.9 [9.9-25.8],Oceania,16.9
Female,1982,31.5 [22.4-41.5],Oceania,31.5
Both sexes,1983,25.0 [19.0-31.3],Oceania,25.0
Male,1983,17.4 [10.5-26.3],Oceania,17.4
Female,1983,32.3 [23.3-42.1],Oceania,32.3
Both sexes,1984,25.8 [19.8-32.0],Oceania,25.8
Male,1984,18.0 [11.1-26.8],Oceania,18.0
Female,1984,33.0 [24.1-42.8],Oceania,33.0
Both sexes,1985,26.5 [20.6-32.7],Oceania,26.5
Male,1985,18.7 [11.7-27.4],Oceania,18.7
Female,1985,33.8 [25.0-43.4],Oceania,33.8
Both sexes,1986,27.2 [21.4-33.4],Oceania,27.2
Male,1986,19.3 [12.3-27.9],Oceania,19.3
Female,1986,34.6 [25.8-43.9],Oceania,34.6
Both sexes,1987,28.0 [22.1-34.1],Oceania,28.0
Male,1987,20.0 [12.9-28.5],Oceania,20.0
Female,1987,35.4 [26.7-44.6],Oceania,35.4
Both sexes,1988,28.7 [22.9-34.7],Oceania,28.7
Male,1988,20.6 [13.5-29.1],Oceania,20.6
Female,1988,36.1 [27.6-45.2],Oceania,36.1
Both sexes,1989,29.3 [23.6-35.4],Oceania,29.3
Male,1989,21.3 [14.1-29.8],Oceania,21.3
Female,1989,36.9 [28.4-45.9],Oceania,36.9
Both sexes,1990,30.0 [24.4-36.0],Oceania,30.0
Male,1990,21.9 [14.7-30.3],Oceania,21.9
Female,1990,37.6 [29.3-46.6],Oceania,37.6
Both sexes,1991,30.7 [25.1-36.6],Oceania,30.7
Male,1991,22.6 [15.4-30.9],Oceania,22.6
Female,1991,38.4 [30.1-47.2],Oceania,38.4
Both sexes,1992,31.5 [25.9-37.3],Oceania,31.5
Male,1992,23.3 [16.0-31.6],Oceania,23.3
Female,1992,39.1 [30.9-47.8],Oceania,39.1
Both sexes,1993,32.2 [26.6-37.9],Oceania,32.2
Male,1993,24.0 [16.7-32.2],Oceania,24.0
Female,1993,39.8 [31.6-48.4],Oceania,39.8
Both sexes,1994,32.9 [27.4-38.6],Oceania,32.9
Male,1994,24.7 [17.3-32.8],Oceania,24.7
Female,1994,40.5 [32.5-49.1],Oceania,40.5
Both sexes,1995,33.6 [28.1-39.3],Oceania,33.6
Male,1995,25.4 [18.0-33.4],Oceania,25.4
Female,1995,41.2 [33.2-49.7],Oceania,41.2
Both sexes,1996,34.2 [28.9-39.9],Oceania,34.2
Male,1996,26.1 [18.8-34.0],Oceania,26.1
Female,1996,41.9 [34.0-50.2],Oceania,41.9
Both sexes,1997,34.9 [29.6-40.5],Oceania,34.9
Male,1997,26.8 [19.5-34.6],Oceania,26.8
Female,1997,42.6 [34.8-50.7],Oceania,42.6
Both sexes,1998,35.6 [30.3-41.1],Oceania,35.6
Male,1998,27.5 [20.2-35.3],Oceania,27.5
Female,1998,43.3 [35.5-51.2],Oceania,43.3
Both sexes,1999,36.3 [31.1-41.7],Oceania,36.3
Male,1999,28.2 [20.9-36.0],Oceania,28.2
Female,1999,44.0 [36.3-51.8],Oceania,44.0
Both sexes,2000,37.0 [31.8-42.3],Oceania,37.0
Male,2000,29.0 [21.7-36.7],Oceania,29.0
Female,2000,44.7 [37.0-52.3],Oceania,44.7
Both sexes,2001,37.7 [32.5-43.0],Oceania,37.7
Male,2001,29.7 [22.5-37.4],Oceania,29.7
Female,2001,45.3 [37.7-52.7],Oceania,45.3
Both sexes,2002,38.4 [33.3-43.6],Oceania,38.4
Male,2002,30.4 [23.2-38.2],Oceania,30.4
Female,2002,46.0 [38.5-53.3],Oceania,46.0
Both sexes,2003,39.1 [34.0-44.3],Oceania,39.1
Male,2003,31.2 [23.9-38.9],Oceania,31.2
Female,2003,46.6 [39.3-53.9],Oceania,46.6
Both sexes,2004,39.9 [34.8-45.0],Oceania,39.9
Male,2004,32.0 [24.6-39.7],Oceania,32.0
Female,2004,47.3 [40.0-54.5],Oceania,47.3
Both sexes,2005,40.6 [35.5-45.7],Oceania,40.6
Male,2005,32.7 [25.4-40.4],Oceania,32.7
Female,2005,47.9 [40.7-55.1],Oceania,47.9
Both sexes,2006,41.3 [36.1-46.4],Oceania,41.3
Male,2006,33.5 [26.0-41.2],Oceania,33.5
Female,2006,48.5 [41.3-55.7],Oceania,48.5
Both sexes,2007,42.0 [36.7-47.1],Oceania,42.0
Male,2007,34.3 [26.8-41.9],Oceania,34.3
Female,2007,49.2 [41.9-56.3],Oceania,49.2
Both sexes,2008,42.7 [37.3-47.8],Oceania,42.7
Male,2008,35.0 [27.6-42.8],Oceania,35.0
Female,2008,49.8 [42.6-56.8],Oceania,49.8
Both sexes,2009,43.4 [37.9-48.5],Oceania,43.4
Male,2009,35.8 [28.3-43.7],Oceania,35.8
Female,2009,50.4 [43.1-57.5],Oceania,50.4
Both sexes,2010,44.1 [38.5-49.2],Oceania,44.1
Male,2010,36.6 [28.9-44.5],Oceania,36.6
Female,2010,51.0 [43.7-58.2],Oceania,51.0
Both sexes,2011,44.7 [39.1-50.0],Oceania,44.7
Male,2011,37.4 [29.6-45.3],Oceania,37.4
Female,2011,51.6 [44.2-58.7],Oceania,51.6
Both sexes,2012,45.4 [39.8-50.8],Oceania,45.4
Male,2012,38.2 [30.1-46.3],Oceania,38.2
Female,2012,52.2 [44.7-59.4],Oceania,52.2
Both sexes,2013,46.1 [40.3-51.6],Oceania,46.1
Male,2013,39.0 [30.7-47.3],Oceania,39.0
Female,2013,52.8 [45.1-60.1],Oceania,52.8
Both sexes,2014,46.8 [40.8-52.3],Oceania,46.8
Male,2014,39.8 [31.2-48.4],Oceania,39.8
Female,2014,53.4 [45.5-60.8],Oceania,53.4
Both sexes,2015,47.5 [41.3-53.2],Oceania,47.5
Male,2015,40.6 [31.7-49.5],Oceania,40.6
Female,2015,53.9 [45.9-61.6],Oceania,53.9
Both sexes,2016,48.2 [41.8-54.0],Oceania,48.2
Male,2016,41.4 [32.2-50.5],Oceania,41.4
Female,2016,54.5 [46.3-62.3],Oceania,54.5
