Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,3.8 [1.8-6.8],Caribbean,3.8
Male,1975,1.6 [0.5-4.0],Caribbean,1.6
Female,1975,5.9 [2.5-11.2],Caribbean,5.9
Both sexes,1976,4.0 [2.0-6.9],Caribbean,4.0
Male,1976,1.7 [0.5-4.1],Caribbean,1.7
Female,1976,6.1 [2.7-11.4],Caribbean,6.1
Both sexes,1977,4.1 [2.1-7.0],Caribbean,4.1
Male,1977,1.8 [0.6-4.2],Caribbean,1.8
Female,1977,6.3 [2.9-11.5],Caribbean,6.3
Both sexes,1978,4.3 [2.3-7.1],Caribbean,4.3
Male,1978,1.9 [0.6-4.3],Caribbean,1.9
Female,1978,6.6 [3.1-11.7],Caribbean,6.6
Both sexes,1979,4.5 [2.4-7.3],Caribbean,4.5
Male,1979,2.0 [0.7-4.4],Caribbean,2.0
Female,1979,6.8 [3.3-12.0],Caribbean,6.8
Both sexes,1980,4.7 [2.6-7.5],Caribbean,4.7
Male,1980,2.1 [0.7-4.5],Caribbean,2.1
Female,1980,7.1 [3.5-12.3],Caribbean,7.1
Both sexes,1981,4.9 [2.8-7.7],Caribbean,4.9
Male,1981,2.2 [0.8-4.6],Caribbean,2.2
Female,1981,7.4 [3.8-12.6],Caribbean,7.4
Both sexes,1982,5.1 [3.0-7.9],Caribbean,5.1
Male,1982,2.3 [0.8-4.8],Caribbean,2.3
Female,1982,7.7 [4.0-12.8],Caribbean,7.7
Both sexes,1983,5.3 [3.1-8.1],Caribbean,5.3
Male,1983,2.4 [0.9-4.9],Caribbean,2.4
Female,1983,8.0 [4.3-13.1],Caribbean,8.0
Both sexes,1984,5.5 [3.3-8.3],Caribbean,5.5
Male,1984,2.5 [1.0-5.0],Caribbean,2.5
Female,1984,8.3 [4.6-13.4],Caribbean,8.3
Both sexes,1985,5.7 [3.5-8.5],Caribbean,5.7
Male,1985,2.6 [1.1-5.2],Caribbean,2.6
Female,1985,8.6 [4.8-13.7],Caribbean,8.6
Both sexes,1986,5.9 [3.7-8.7],Caribbean,5.9
