Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,7.5 [4.5-11.5],North Africa,7.5
Male,1975,3.1 [1.2-6.5],North Africa,3.1
Female,1975,11.9 [6.4-19.4],North Africa,11.9
Both sexes,1976,7.8 [4.8-11.7],North Africa,7.8
Male,1976,3.3 [1.3-6.7],North Africa,3.3
Female,1976,12.4 [7.0-19.7],North Africa,12.4
Both sexes,1977,8.2 [5.2-12.0],North Africa,8.2
Male,1977,3.5 [1.5-6.8],North Africa,3.5
Female,1977,12.9 [7.5-20.0],North Africa,12.9
Both sexes,1978,8.5 [5.6-12.4],North Africa,8.5
Male,1978,3.7 [1.6-7.0],North Africa,3.7
Female,1978,13.3 [8.0-20.2],North Africa,13.3
Both sexes,1979,8.9 [5.9-12.7],North Africa,8.9
Male,1979,3.9 [1.8-7.2],North Africa,3.9
Female,1979,13.8 [8.5-20.4],North Africa,13.8
Both sexes,1980,9.2 [6.3-13.0],North Africa,9.2
Male,1980,4.1 [2.0-7.4],North Africa,4.1
Female,1980,14.3 [9.1-20.8],North Africa,14.3
Both sexes,1981,9.6 [6.6-13.3],North Africa,9.6
Male,1981,4.3 [2.1-7.6],North Africa,4.3
Female,1981,14.8 [9.6-21.1],North Africa,14.8
Both sexes,1982,10.0 [7.0-13.6],North Africa,10.0
Male,1982,4.6 [2.3-7.9],North Africa,4.6
Female,1982,15.3 [10.1-21.5],North Africa,15.3
Both sexes,1983,10.4 [7.4-14.0],North Africa,10.4
Male,1983,4.8 [2.5-8.1],North Africa,4.8
Female,1983,15.8 [10.6-21.9],North Africa,15.8
Both sexes,1984,10.7 [7.8-14.3],North Africa,10.7
Male,1984,5.0 [2.7-8.4],North Africa,5.0
Female,1984,16.3 [11.2-22.4],North Africa,16.3
Both sexes,1985,11.1 [8.2-14.6],North Africa,11.1
Male,1985,5.3 [2.9-8.7],North Africa,5.3
Female,1985,16.8 [11.7-22.8],North Africa,16.8
