Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,8.6 [5.5-12.4],Middle East,8.6
Male,1975,3.9 [1.7-7.5],Middle East,3.9
Female,1975,12.9 [7.6-20.0],Middle East,12.9
Both sexes,1976,8.9 [5.9-12.7],Middle East,8.9
Male,1976,4.2 [1.9-7.6],Middle East,4.2
Female,1976,13.4 [8.1-20.3],Middle East,13.4
Both sexes,1977,9.3 [6.3-12.9],Middle East,9.3
Male,1977,4.4 [2.1-7.7],Middle East,4.4
Female,1977,13.9 [8.7-20.5],Middle East,13.9
Both sexes,1978,9.6 [6.7-13.1],Middle East,9.6
Male,1978,4.6 [2.3-7.9],Middle East,4.6
Female,1978,14.4 [9.2-20.7],Middle East,14.4
Both sexes,1979,10.0 [7.1-13.4],Middle East,10.0
Male,1979,4.8 [2.6-8.1],Middle East,4.8
Female,1979,14.9 [9.8-21.0],Middle East,14.9
Both sexes,1980,10.4 [7.5-13.7],Middle East,10.4
Male,1980,5.1 [2.8-8.3],Middle East,5.1
Female,1980,15.3 [10.5-21.2],Middle East,15.3
Both sexes,1981,10.8 [8.0-14.0],Middle East,10.8
Male,1981,5.4 [3.1-8.5],Middle East,5.4
Female,1981,15.9 [11.1-21.6],Middle East,15.9
Both sexes,1982,11.3 [8.5-14.4],Middle East,11.3
Male,1982,5.7 [3.4-8.8],Middle East,5.7
Female,1982,16.5 [11.8-22.1],Middle East,16.5
Both sexes,1983,11.8 [9.0-14.8],Middle East,11.8
Male,1983,6.0 [3.7-9.1],Middle East,6.0
Female,1983,17.2 [12.5-22.6],Middle East,17.2
Both sexes,1984,12.3 [9.6-15.3],Middle East,12.3
Male,1984,6.4 [4.1-9.5],Middle East,6.4
Female,1984,17.9 [13.3-23.1],Middle East,17.9
Both sexes,1985,13.0 [10.3-15.9],Middle East,13.0
Male,1985,6.8 [4.5-9.9],Middle East,6.8
Female,1985,18.6 [14.1-23.8],Middle East,18.6
Both sexes,1986,13.6 [11.0-16.5],Middle East,13.6
Male,1986,7.3 [4.9-10.3],Middle East,7.3
Female,1986,19.4 [14.9-24.3],Middle East,19.4
Both sexes,1987,14.2 [11.6-17.1],Middle East,14.2
Male,1987,7.8 [5.3-10.9],Middle East,7.8
Female,1987,20.2 [15.8-25.0],Middle East,20.2
Both sexes,1988,14.9 [12.3-17.7],Middle East,14.9
Male,1988,8.3 [5.8-11.4],Middle East,8.3
Female,1988,21.0 [16.7-25.7],Middle East,21.0
Both sexes,1989,15.6 [13.0-18.4],Middle East,15.6
Male,1989,8.8 [6.2-12.0],Middle East,8.8
Female,1989,21.9 [17.6-26.4],Middle East,21.9
Both sexes,1990,16.3 [13.7-19.1],Middle East,16.3
Male,1990,9.4 [6.7-12.5],Middle East,9.4
Female,1990,22.7 [18.6-27.2],Middle East,22.7
Both sexes,1991,16.9 [14.4-19.7],Middle East,16.9
Male,1991,9.9 [7.2-13.1],Middle East,9.9
Female,1991,23.5 [19.4-27.8],Middle East,23.5
Both sexes,1992,17.6 [15.1-20.3],Middle East,17.6
Male,1992,10.4 [7.6-13.6],Middle East,10.4
Female,1992,24.2 [20.2-28.4],Middle East,24.2
Both sexes,1993,18.2 [15.7-20.9],Middle East,18.2
Male,1993,10.9 [8.1-14.1],Middle East,10.9
Female,1993,24.9 [21.0-29.0],Middle East,24.9
Both sexes,1994,18.8 [16.3-21.5],Middle East,18.8
Male,1994,11.4 [8.6-14.7],Middle East,11.4
Female,1994,25.6 [21.7-29.6],Middle East,25.6
Both sexes,1995,19.4 [16.9-22.0],Middle East,19.4
Male,1995,11.9 [9.0-15.2],Middle East,11.9
Female,1995,26.2 [22.4-30.2],Middle East,26.2
Both sexes,1996,20.0 [17.5-22.5],Middle East,20.0
Male,1996,12.4 [9.5-15.6],Middle East,12.4
Female,1996,26.8 [23.1-30.8],Middle East,26.8
Both sexes,1997,20.5 [18.1-23.1],Middle East,20.5
Male,1997,12.9 [10.0-16.1],Middle East,12.9
Female,1997,27.4 [23.7-31.3],Middle East,27.4
Both sexes,1998,21.1 [18.7-23.6],Middle East,21.1
Male,1998,13.4 [10.5-16.6],Middle East,13.4
Female,1998,28.0 [24.3-31.9],Middle East,28.0
Both sexes,1999,21.6 [19.3-24.1],Middle East,21.6
Male,1999,13.9 [10.9-17.1],Middle East,13.9
Female,1999,28.6 [25.0-32.5],Middle East,28.6
Both sexes,2000,22.2 [19.9-24.7],Middle East,22.2
Male,2000,14.4 [11.4-17.6],Middle East,14.4
Female,2000,29.2 [25.6-33.0],Middle East,29.2
Both sexes,2001,22.7 [20.4-25.2],Middle East,22.7
Male,2001,14.9 [11.9-18.1],Middle East,14.9
Female,2001,29.8 [26.2-33.5],Middle East,29.8
Both sexes,2002,23.3 [21.0-25.8],Middle East,23.3
Male,2002,15.4 [12.5-18.6],Middle East,15.4
Female,2002,30.4 [26.8-34.1],Middle East,30.4
Both sexes,2003,23.9 [21.6-26.4],Middle East,23.9
Male,2003,16.0 [13.0-19.1],Middle East,16.0
Female,2003,31.0 [27.4-34.7],Middle East,31.0
Both sexes,2004,24.5 [22.2-27.0],Middle East,24.5
Male,2004,16.5 [13.6-19.7],Middle East,16.5
Female,2004,31.6 [28.0-35.3],Middle East,31.6
Both sexes,2005,25.1 [22.8-27.6],Middle East,25.1
Male,2005,17.1 [14.1-20.3],Middle East,17.1
Female,2005,32.2 [28.6-35.9],Middle East,32.2
Both sexes,2006,25.7 [23.4-28.2],Middle East,25.7
Male,2006,17.7 [14.6-21.0],Middle East,17.7
Female,2006,32.9 [29.2-36.5],Middle East,32.9
Both sexes,2007,26.3 [23.9-28.8],Middle East,26.3
Male,2007,18.3 [15.2-21.7],Middle East,18.3
Female,2007,33.5 [29.8-37.2],Middle East,33.5
Both sexes,2008,26.9 [24.5-29.5],Middle East,26.9
Male,2008,18.9 [15.7-22.4],Middle East,18.9
Female,2008,34.1 [30.4-37.9],Middle East,34.1
Both sexes,2009,27.6 [25.1-30.2],Middle East,27.6
Male,2009,19.6 [16.2-23.2],Middle East,19.6
Female,2009,34.8 [30.9-38.7],Middle East,34.8
Both sexes,2010,28.2 [25.6-31.0],Middle East,28.2
Male,2010,20.2 [16.7-24.0],Middle East,20.2
Female,2010,35.4 [31.4-39.5],Middle East,35.4
Both sexes,2011,28.9 [26.1-31.8],Middle East,28.9
Male,2011,20.9 [17.2-24.8],Middle East,20.9
Female,2011,36.0 [31.9-40.3],Middle East,36.0
Both sexes,2012,29.5 [26.6-32.6],Middle East,29.5
Male,2012,21.5 [17.6-25.7],Middle East,21.5
Female,2012,36.7 [32.3-41.1],Middle East,36.7
Both sexes,2013,30.2 [27.1-33.4],Middle East,30.2
Male,2013,22.2 [18.1-26.7],Middle East,22.2
Female,2013,37.3 [32.7-42.0],Middle East,37.3
Both sexes,2014,30.8 [27.5-34.3],Middle East,30.8
Male,2014,22.9 [18.5-27.7],Middle East,22.9
Female,2014,37.9 [33.1-43.0],Middle East,37.9
Both sexes,2015,31.5 [27.9-35.2],Middle East,31.5
Male,2015,23.6 [18.9-28.7],Middle East,23.6
Female,2015,38.6 [33.4-44.0],Middle East,38.6
Both sexes,2016,32.1 [28.3-36.1],Middle East,32.1
Male,2016,24.4 [19.2-29.8],Middle East,24.4
Female,2016,39.2 [33.7-45.0],Middle East,39.2
