Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,13.7 [9.5-19.0],Middle East,13.7
Male,1975,9.3 [4.6-15.7],Middle East,9.3
Female,1975,24.1 [15.9-33.6],Middle East,24.1
Both sexes,1976,13.9 [9.7-19.1],Middle East,13.9
Male,1976,9.5 [4.9-15.8],Middle East,9.5
Female,1976,24.4 [16.4-33.6],Middle East,24.4
Both sexes,1977,14.0 [10.0-19.2],Middle East,14.0
Male,1977,9.8 [5.2-16.0],Middle East,9.8
Female,1977,24.8 [16.9-33.7],Middle East,24.8
Both sexes,1978,14.3 [10.3-19.3],Middle East,14.3
Male,1978,10.1 [5.5-16.1],Middle East,10.1
Female,1978,25.1 [17.4-33.7],Middle East,25.1
Both sexes,1979,14.5 [10.6-19.5],Middle East,14.5
Male,1979,10.4 [5.9-16.3],Middle East,10.4
Female,1979,25.4 [18.0-33.8],Middle East,25.4
Both sexes,1980,14.9 [11.0-19.7],Middle East,14.9
Male,1980,10.7 [6.2-16.5],Middle East,10.7
Female,1980,25.8 [18.5-34.0],Middle East,25.8
Both sexes,1981,15.2 [11.4-20.0],Middle East,15.2
Male,1981,11.0 [6.5-16.8],Middle East,11.0
Female,1981,26.1 [19.0-34.2],Middle East,26.1
Both sexes,1982,15.6 [11.8-20.3],Middle East,15.6
Male,1982,11.3 [6.8-16.9],Middle East,11.3
Female,1982,26.5 [19.5-34.2],Middle East,26.5
Both sexes,1983,16.1 [12.3-20.7],Middle East,16.1
Male,1983,11.6 [7.2-17.2],Middle East,11.6
Female,1983,26.8 [20.0-34.4],Middle East,26.8
Both sexes,1984,16.5 [12.7-21.0],Middle East,16.5
Male,1984,11.9 [7.5-17.4],Middle East,11.9
Female,1984,27.1 [20.4-34.5],Middle East,27.1
Both sexes,1985,16.8 [13.1-21.3],Middle East,16.8
Male,1985,12.2 [7.7-17.7],Middle East,12.2
Female,1985,27.4 [20.9-34.6],Middle East,27.4
Both sexes,1986,17.1 [13.4-21.6],Middle East,17.1
Male,1986,12.5 [8.0-17.9],Middle East,12.5
Female,1986,27.7 [21.3-34.7],Middle East,27.7
Both sexes,1987,17.4 [13.7-21.9],Middle East,17.4
Male,1987,12.8 [8.3-18.3],Middle East,12.8
Female,1987,28.0 [21.7-34.9],Middle East,28.0
Both sexes,1988,17.7 [14.0-22.1],Middle East,17.7
Male,1988,13.1 [8.6-18.6],Middle East,13.1
Female,1988,28.3 [22.1-35.0],Middle East,28.3
Both sexes,1989,18.0 [14.3-22.4],Middle East,18.0
Male,1989,13.4 [8.9-19.0],Middle East,13.4
Female,1989,28.6 [22.5-35.2],Middle East,28.6
Both sexes,1990,18.3 [14.6-22.7],Middle East,18.3
Male,1990,13.8 [9.2-19.2],Middle East,13.8
Female,1990,28.9 [22.9-35.5],Middle East,28.9
Both sexes,1991,18.6 [14.8-22.9],Middle East,18.6
Male,1991,14.1 [9.5-19.6],Middle East,14.1
Female,1991,29.3 [23.2-35.6],Middle East,29.3
Both sexes,1992,18.9 [15.1-23.2],Middle East,18.9
Male,1992,14.4 [9.9-20.0],Middle East,14.4
Female,1992,29.6 [23.6-35.8],Middle East,29.6
Both sexes,1993,19.2 [15.4-23.4],Middle East,19.2
Male,1993,14.8 [10.2-20.3],Middle East,14.8
Female,1993,29.9 [23.9-36.1],Middle East,29.9
Both sexes,1994,19.5 [15.6-23.7],Middle East,19.5
Male,1994,15.1 [10.5-20.6],Middle East,15.1
Female,1994,30.2 [24.3-36.3],Middle East,30.2
Both sexes,1995,19.8 [16.0-24.0],Middle East,19.8
Male,1995,15.5 [10.9-21.0],Middle East,15.5
Female,1995,30.6 [24.7-36.5],Middle East,30.6
Both sexes,1996,20.1 [16.3-24.4],Middle East,20.1
Male,1996,15.9 [11.2-21.4],Middle East,15.9
Female,1996,30.9 [25.1-36.8],Middle East,30.9
Both sexes,1997,20.5 [16.6-24.8],Middle East,20.5
Male,1997,16.3 [11.6-21.8],Middle East,16.3
Female,1997,31.3 [25.5-37.2],Middle East,31.3
