Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.4 [7.0-12.2],Western Europe,9.4
Male,1975,7.8 [4.8-11.5],Western Europe,7.8
Female,1975,10.8 [7.2-15.0],Western Europe,10.8
Both sexes,1976,9.6 [7.3-12.3],Western Europe,9.6
Male,1976,8.1 [5.1-11.5],Western Europe,8.1
Female,1976,11.0 [7.6-15.0],Western Europe,11.0
Both sexes,1977,9.9 [7.6-12.4],Western Europe,9.9
Male,1977,8.3 [5.4-11.6],Western Europe,8.3
Female,1977,11.3 [8.0-15.0],Western Europe,11.3
Both sexes,1978,10.1 [8.0-12.6],Western Europe,10.1
Male,1978,8.6 [5.8-11.6],Western Europe,8.6
Female,1978,11.6 [8.4-15.1],Western Europe,11.6
Both sexes,1979,10.4 [8.4-12.7],Western Europe,10.4
Male,1979,8.8 [6.1-11.8],Western Europe,8.8
Female,1979,11.9 [8.8-15.3],Western Europe,11.9
Both sexes,1980,10.7 [8.7-12.9],Western Europe,10.7
Male,1980,9.1 [6.5-11.9],Western Europe,9.1
Female,1980,12.2 [9.2-15.5],Western Europe,12.2
Both sexes,1981,11.0 [9.1-13.1],Western Europe,11.0
Male,1981,9.4 [6.8-12.1],Western Europe,9.4
Female,1981,12.5 [9.6-15.7],Western Europe,12.5
Both sexes,1982,11.3 [9.4-13.3],Western Europe,11.3
Male,1982,9.7 [7.2-12.3],Western Europe,9.7
Female,1982,12.8 [10.0-15.9],Western Europe,12.8
Both sexes,1983,11.6 [9.8-13.5],Western Europe,11.6
Male,1983,10.0 [7.6-12.5],Western Europe,10.0
Female,1983,13.1 [10.4-16.0],Western Europe,13.1
Both sexes,1984,11.9 [10.2-13.8],Western Europe,11.9
Male,1984,10.3 [8.0-12.8],Western Europe,10.3
Female,1984,13.5 [10.8-16.3],Western Europe,13.5
Both sexes,1985,12.3 [10.5-14.1],Western Europe,12.3
Male,1985,10.6 [8.3-13.0],Western Europe,10.6
Female,1985,13.8 [11.3-16.5],Western Europe,13.8
Both sexes,1986,12.6 [10.9-14.3],Western Europe,12.6
Male,1986,10.9 [8.7-13.3],Western Europe,10.9
Female,1986,14.1 [11.7-16.8],Western Europe,14.1
Both sexes,1987,12.9 [11.3-14.6],Western Europe,12.9
Male,1987,11.3 [9.0-13.6],Western Europe,11.3
Female,1987,14.5 [12.1-17.1],Western Europe,14.5
Both sexes,1988,13.3 [11.6-15.0],Western Europe,13.3
Male,1988,11.6 [9.4-13.9],Western Europe,11.6
Female,1988,14.8 [12.4-17.4],Western Europe,14.8
Both sexes,1989,13.6 [12.0-15.3],Western Europe,13.6
Male,1989,12.0 [9.8-14.3],Western Europe,12.0
Female,1989,15.2 [12.8-17.7],Western Europe,15.2
Both sexes,1990,14.0 [12.4-15.7],Western Europe,14.0
Male,1990,12.4 [10.2-14.7],Western Europe,12.4
Female,1990,15.6 [13.2-18.1],Western Europe,15.6
Both sexes,1991,14.4 [12.8-16.0],Western Europe,14.4
Male,1991,12.7 [10.6-15.1],Western Europe,12.7
Female,1991,16.0 [13.6-18.4],Western Europe,16.0
Both sexes,1992,14.8 [13.3-16.5],Western Europe,14.8
Male,1992,13.2 [11.0-15.5],Western Europe,13.2
Female,1992,16.4 [14.1-18.8],Western Europe,16.4
Both sexes,1993,15.2 [13.7-16.9],Western Europe,15.2
Male,1993,13.6 [11.4-15.9],Western Europe,13.6
Female,1993,16.8 [14.5-19.2],Western Europe,16.8
Both sexes,1994,15.7 [14.2-17.3],Western Europe,15.7
