Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,11.9 [9.3-14.8],North America,11.9
Male,1975,10.3 [7.0-14.5],North America,10.3
Female,1975,13.3 [9.5-17.6],North America,13.3
Both sexes,1976,12.2 [9.7-15.1],North America,12.2
Male,1976,10.7 [7.4-14.7],North America,10.7
Female,1976,13.6 [10.0-17.8],North America,13.6
Both sexes,1977,12.6 [10.1-15.3],North America,12.6
Male,1977,11.0 [7.8-15.0],North America,11.0
Female,1977,14.0 [10.4-18.0],North America,14.0
Both sexes,1978,13.0 [10.6-15.5],North America,13.0
Male,1978,11.4 [8.2-15.3],North America,11.4
Female,1978,14.4 [10.9-18.2],North America,14.4
Both sexes,1979,13.3 [10.9-15.9],North America,13.3
Male,1979,11.7 [8.6-15.5],North America,11.7
Female,1979,14.8 [11.4-18.4],North America,14.8
Both sexes,1980,13.7 [11.4-16.2],North America,13.7
Male,1980,12.1 [9.0-15.8],North America,12.1
Female,1980,15.2 [11.8-18.7],North America,15.2
Both sexes,1981,14.1 [11.8-16.5],North America,14.1
Male,1981,12.5 [9.4-16.2],North America,12.5
Female,1981,15.6 [12.3-19.0],North America,15.6
Both sexes,1982,14.6 [12.3-16.9],North America,14.6
Male,1982,12.9 [9.9-16.6],North America,12.9
Female,1982,16.0 [12.8-19.4],North America,16.0
Both sexes,1983,15.0 [12.8-17.3],North America,15.0
Male,1983,13.4 [10.3-16.9],North America,13.4
Female,1983,16.5 [13.3-19.7],North America,16.5
Both sexes,1984,15.5 [13.2-17.8],North America,15.5
Male,1984,13.8 [10.8-17.3],North America,13.8
Female,1984,16.9 [13.8-20.1],North America,16.9
Both sexes,1985,16.0 [13.7-18.3],North America,16.0
Male,1985,14.3 [11.3-17.8],North America,14.3
Female,1985,17.4 [14.3-20.6],North America,17.4
Both sexes,1986,16.5 [14.2-18.8],North America,16.5
Male,1986,14.8 [11.7-18.3],North America,14.8
Female,1986,17.9 [14.8-21.1],North America,17.9
Both sexes,1987,17.0 [14.7-19.3],North America,17.0
Male,1987,15.3 [12.2-18.8],North America,15.3
Female,1987,18.5 [15.4-21.7],North America,18.5
Both sexes,1988,17.5 [15.3-19.9],North America,17.5
Male,1988,15.9 [12.7-19.4],North America,15.9
Female,1988,19.0 [16.0-22.2],North America,19.0
Both sexes,1989,18.1 [15.8-20.5],North America,18.1
Male,1989,16.4 [13.3-20.0],North America,16.4
Female,1989,19.6 [16.5-22.8],North America,19.6
Both sexes,1990,18.7 [16.4-21.1],North America,18.7
Male,1990,17.0 [13.8-20.6],North America,17.0
Female,1990,20.2 [17.1-23.4],North America,20.2
Both sexes,1991,19.3 [17.0-21.7],North America,19.3
Male,1991,17.6 [14.4-21.3],North America,17.6
Female,1991,20.8 [17.7-24.0],North America,20.8
Both sexes,1992,19.9 [17.6-22.3],North America,19.9
Male,1992,18.3 [15.0-21.9],North America,18.3
