Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,11.4 [7.3-16.3],South America,11.4
Male,1975,7.9 [3.6-14.2],South America,7.9
Female,1975,14.6 [8.3-22.7],South America,14.6
Both sexes,1976,11.7 [7.6-16.4],South America,11.7
Male,1976,8.1 [3.9-14.4],South America,8.1
Female,1976,14.9 [8.6-22.8],South America,14.9
Both sexes,1977,11.9 [7.9-16.6],South America,11.9
Male,1977,8.4 [4.1-14.6],South America,8.4
Female,1977,15.2 [9.0-22.9],South America,15.2
Both sexes,1978,12.2 [8.3-16.7],South America,12.2
Male,1978,8.7 [4.4-14.8],South America,8.7
Female,1978,15.5 [9.4-23.0],South America,15.5
Both sexes,1979,12.5 [8.6-16.9],South America,12.5
Male,1979,9.0 [4.7-14.8],South America,9.0
Female,1979,15.8 [9.7-23.1],South America,15.8
Both sexes,1980,12.9 [8.9-17.2],South America,12.9
Male,1980,9.3 [4.9-15.0],South America,9.3
Female,1980,16.1 [10.1-23.3],South America,16.1
Both sexes,1981,13.2 [9.3-17.5],South America,13.2
Male,1981,9.6 [5.2-15.3],South America,9.6
Female,1981,16.5 [10.4-23.5],South America,16.5
Both sexes,1982,13.5 [9.6-17.8],South America,13.5
Male,1982,9.9 [5.5-15.5],South America,9.9
Female,1982,16.8 [10.8-23.7],South America,16.8
Both sexes,1983,13.9 [9.9-18.2],South America,13.9
Male,1983,10.2 [5.8-15.8],South America,10.2
Female,1983,17.1 [11.2-23.9],South America,17.1
Both sexes,1984,14.2 [10.3-18.5],South America,14.2
Male,1984,10.6 [6.1-16.2],South America,10.6
Female,1984,17.5 [11.6-24.3],South America,17.5
Both sexes,1985,14.6 [10.7-18.8],South America,14.6
Male,1985,10.9 [6.4-16.5],South America,10.9
Female,1985,17.9 [12.0-24.6],South America,17.9
Both sexes,1986,14.9 [11.1-19.2],South America,14.9
Male,1986,11.3 [6.7-16.8],South America,11.3
Female,1986,18.2 [12.4-24.9],South America,18.2
Both sexes,1987,15.3 [11.4-19.6],South America,15.3
Male,1987,11.6 [7.0-17.2],South America,11.6
Female,1987,18.6 [12.8-25.2],South America,18.6
Both sexes,1988,15.7 [11.8-20.0],South America,15.7
Male,1988,12.0 [7.3-17.6],South America,12.0
Female,1988,19.0 [13.1-25.5],South America,19.0
Both sexes,1989,16.1 [12.2-20.4],South America,16.1
Male,1989,12.4 [7.7-18.0],South America,12.4
Female,1989,19.3 [13.5-25.9],South America,19.3
Both sexes,1990,16.5 [12.6-20.7],South America,16.5
Male,1990,12.8 [8.0-18.5],South America,12.8
Female,1990,19.7 [13.9-26.2],South America,19.7
Both sexes,1991,16.9 [13.0-21.2],South America,16.9
Male,1991,13.1 [8.3-18.9],South America,13.1
Female,1991,20.1 [14.4-26.6],South America,20.1
Both sexes,1992,17.3 [13.4-21.6],South America,17.3
Male,1992,13.5 [8.7-19.3],South America,13.5
Female,1992,20.5 [14.8-26.9],South America,20.5
Both sexes,1993,17.7 [13.8-22.0],South America,17.7
Male,1993,13.9 [9.0-19.7],South America,13.9
Female,1993,20.9 [15.1-27.3],South America,20.9
Both sexes,1994,18.1 [14.1-22.3],South America,18.1
Male,1994,14.4 [9.4-20.2],South America,14.4
Female,1994,21.3 [15.5-27.7],South America,21.3
Both sexes,1995,18.5 [14.5-22.8],South America,18.5
