Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,4.4 [2.3-7.6],Central Asia,4.4
Male,1975,2.9 [1.0-6.5],Central Asia,2.9
Female,1975,5.6 [2.3-10.8],Central Asia,5.6
Both sexes,1976,4.6 [2.4-7.7],Central Asia,4.6
Male,1976,3.1 [1.0-6.6],Central Asia,3.1
Female,1976,5.8 [2.5-11.0],Central Asia,5.8
Both sexes,1977,4.8 [2.6-7.9],Central Asia,4.8
Male,1977,3.2 [1.1-6.8],Central Asia,3.2
Female,1977,6.0 [2.7-11.2],Central Asia,6.0
Both sexes,1978,5.0 [2.8-8.0],Central Asia,5.0
Male,1978,3.4 [1.2-6.9],Central Asia,3.4
Female,1978,6.2 [2.8-11.3],Central Asia,6.2
Both sexes,1979,5.2 [2.9-8.2],Central Asia,5.2
Male,1979,3.5 [1.4-7.1],Central Asia,3.5
Female,1979,6.5 [3.0-11.4],Central Asia,6.5
Both sexes,1980,5.4 [3.1-8.4],Central Asia,5.4
Male,1980,3.7 [1.5-7.2],Central Asia,3.7
Female,1980,6.7 [3.2-11.6],Central Asia,6.7
Both sexes,1981,5.6 [3.3-8.5],Central Asia,5.6
Male,1981,3.9 [1.6-7.4],Central Asia,3.9
Female,1981,6.9 [3.5-11.8],Central Asia,6.9
Both sexes,1982,5.8 [3.5-8.7],Central Asia,5.8
Male,1982,4.0 [1.7-7.6],Central Asia,4.0
Female,1982,7.1 [3.7-12.0],Central Asia,7.1
Both sexes,1983,6.0 [3.6-8.9],Central Asia,6.0
Male,1983,4.2 [1.9-7.8],Central Asia,4.2
Female,1983,7.4 [3.9-12.2],Central Asia,7.4
Both sexes,1984,6.2 [3.8-9.1],Central Asia,6.2
Male,1984,4.4 [2.0-8.0],Central Asia,4.4
Female,1984,7.6 [4.1-12.4],Central Asia,7.6
Both sexes,1985,6.4 [4.0-9.3],Central Asia,6.4
Male,1985,4.6 [2.1-8.3],Central Asia,4.6
Female,1985,7.8 [4.3-12.6],Central Asia,7.8
Both sexes,1986,6.6 [4.2-9.5],Central Asia,6.6
Male,1986,4.7 [2.2-8.5],Central Asia,4.7
Female,1986,8.0 [4.5-12.8],Central Asia,8.0
Both sexes,1987,6.8 [4.4-9.7],Central Asia,6.8
Male,1987,4.9 [2.3-8.7],Central Asia,4.9
Female,1987,8.3 [4.7-13.0],Central Asia,8.3
Both sexes,1988,7.0 [4.5-9.9],Central Asia,7.0
Male,1988,5.1 [2.5-9.0],Central Asia,5.1
Female,1988,8.5 [4.9-13.2],Central Asia,8.5
Both sexes,1989,7.2 [4.7-10.1],Central Asia,7.2
Male,1989,5.3 [2.6-9.2],Central Asia,5.3
Female,1989,8.7 [5.1-13.4],Central Asia,8.7
Both sexes,1990,7.4 [4.9-10.3],Central Asia,7.4
Male,1990,5.5 [2.7-9.5],Central Asia,5.5
Female,1990,9.0 [5.4-13.7],Central Asia,9.0
Both sexes,1991,7.6 [5.1-10.6],Central Asia,7.6
Male,1991,5.7 [2.9-9.7],Central Asia,5.7
Female,1991,9.2 [5.6-13.9],Central Asia,9.2
Both sexes,1992,7.8 [5.3-10.8],Central Asia,7.8
Male,1992,5.9 [3.0-10.0],Central Asia,5.9
Female,1992,9.5 [5.8-14.1],Central Asia,9.5
Both sexes,1993,8.0 [5.5-11.0],Central Asia,8.0
Male,1993,6.1 [3.2-10.2],Central Asia,6.1
Female,1993,9.7 [6.1-14.3],Central Asia,9.7
Both sexes,1994,8.2 [5.7-11.3],Central Asia,8.2
Male,1994,6.3 [3.3-10.5],Central Asia,6.3
Female,1994,9.9 [6.3-14.5],Central Asia,9.9
Both sexes,1995,8.5 [5.9-11.5],Central Asia,8.5
Male,1995,6.5 [3.4-10.7],Central Asia,6.5
Female,1995,10.2 [6.5-14.8],Central Asia,10.2
Both sexes,1996,8.7 [6.2-11.7],Central Asia,8.7
Male,1996,6.7 [3.6-11.0],Central Asia,6.7
Female,1996,10.5 [6.7-15.1],Central Asia,10.5
Both sexes,1997,8.9 [6.4-12.0],Central Asia,8.9
Male,1997,6.9 [3.8-11.3],Central Asia,6.9
Female,1997,10.7 [7.0-15.3],Central Asia,10.7
Both sexes,1998,9.2 [6.6-12.3],Central Asia,9.2
Male,1998,7.1 [4.0-11.5],Central Asia,7.1
Female,1998,11.0 [7.2-15.6],Central Asia,11.0
Both sexes,1999,9.5 [6.9-12.5],Central Asia,9.5
Male,1999,7.4 [4.1-11.8],Central Asia,7.4
Female,1999,11.3 [7.5-15.8],Central Asia,11.3
Both sexes,2000,9.8 [7.1-12.8],Central Asia,9.8
Male,2000,7.6 [4.3-12.1],Central Asia,7.6
Female,2000,11.6 [7.7-16.2],Central Asia,11.6
Both sexes,2001,10.1 [7.4-13.2],Central Asia,10.1
Male,2001,7.9 [4.5-12.4],Central Asia,7.9
Female,2001,12.0 [8.0-16.6],Central Asia,12.0
Both sexes,2002,10.4 [7.6-13.5],Central Asia,10.4
Male,2002,8.2 [4.7-12.8],Central Asia,8.2
Female,2002,12.3 [8.3-16.9],Central Asia,12.3
Both sexes,2003,10.7 [7.9-13.9],Central Asia,10.7
Male,2003,8.5 [4.9-13.1],Central Asia,8.5
Female,2003,12.7 [8.6-17.4],Central Asia,12.7
Both sexes,2004,11.0 [8.2-14.3],Central Asia,11.0
Male,2004,8.8 [5.2-13.5],Central Asia,8.8
Female,2004,13.1 [8.9-17.8],Central Asia,13.1
Both sexes,2005,11.4 [8.5-14.7],Central Asia,11.4
Male,2005,9.1 [5.4-13.9],Central Asia,9.1
Female,2005,13.5 [9.2-18.2],Central Asia,13.5
Both sexes,2006,11.8 [8.8-15.1],Central Asia,11.8
Male,2006,9.4 [5.7-14.3],Central Asia,9.4
Female,2006,13.9 [9.6-18.7],Central Asia,13.9
Both sexes,2007,12.2 [9.2-15.6],Central Asia,12.2
Male,2007,9.8 [6.0-14.7],Central Asia,9.8
Female,2007,14.3 [10.0-19.2],Central Asia,14.3
Both sexes,2008,12.6 [9.5-16.1],Central Asia,12.6
Male,2008,10.2 [6.2-15.2],Central Asia,10.2
Female,2008,14.8 [10.3-19.8],Central Asia,14.8
Both sexes,2009,13.0 [9.9-16.6],Central Asia,13.0
Male,2009,10.6 [6.5-15.7],Central Asia,10.6
Female,2009,15.2 [10.6-20.4],Central Asia,15.2
Both sexes,2010,13.5 [10.2-17.1],Central Asia,13.5
Male,2010,11.0 [6.8-16.2],Central Asia,11.0
Female,2010,15.7 [11.0-21.0],Central Asia,15.7
Both sexes,2011,13.9 [10.6-17.7],Central Asia,13.9
Male,2011,11.4 [7.0-16.7],Central Asia,11.4
Female,2011,16.2 [11.3-21.6],Central Asia,16.2
Both sexes,2012,14.4 [10.9-18.3],Central Asia,14.4
Male,2012,11.8 [7.3-17.3],Central Asia,11.8
Female,2012,16.7 [11.8-22.3],Central Asia,16.7
Both sexes,2013,14.9 [11.3-19.0],Central Asia,14.9
Male,2013,12.3 [7.7-18.1],Central Asia,12.3
Female,2013,17.3 [12.1-23.1],Central Asia,17.3
Both sexes,2014,15.4 [11.7-19.7],Central Asia,15.4
Male,2014,12.8 [7.9-18.8],Central Asia,12.8
Female,2014,17.8 [12.4-23.9],Central Asia,17.8
Both sexes,2015,16.0 [12.0-20.5],Central Asia,16.0
Male,2015,13.3 [8.2-19.5],Central Asia,13.3
Female,2015,18.4 [12.7-24.7],Central Asia,18.4
Both sexes,2016,16.6 [12.4-21.2],Central Asia,16.6
Male,2016,13.8 [8.4-20.3],Central Asia,13.8
Female,2016,19.0 [13.0-25.6],Central Asia,19.0
