Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,5.6 [2.7-9.8],Oceania,5.6
Male,1975,3.7 [1.0-8.6],Oceania,3.7
Female,1975,8.1 [3.2-15.5],Oceania,8.1
Both sexes,1976,5.8 [2.9-10.0],Oceania,5.8
Male,1976,3.8 [1.1-8.8],Oceania,3.8
Female,1976,8.4 [3.5-15.8],Oceania,8.4
Both sexes,1977,6.1 [3.1-10.2],Oceania,6.1
Male,1977,4.0 [1.2-9.0],Oceania,4.0
Female,1977,8.7 [3.8-16.0],Oceania,8.7
Both sexes,1978,6.3 [3.4-10.5],Oceania,6.3
Male,1978,4.2 [1.4-9.2],Oceania,4.2
Female,1978,9.1 [4.1-16.3],Oceania,9.1
Both sexes,1979,6.6 [3.6-10.7],Oceania,6.6
Male,1979,4.4 [1.5-9.4],Oceania,4.4
Female,1979,9.5 [4.5-16.6],Oceania,9.5
Both sexes,1980,6.9 [3.9-11.0],Oceania,6.9
Male,1980,4.6 [1.6-9.5],Oceania,4.6
Female,1980,9.8 [4.8-16.9],Oceania,9.8
Both sexes,1981,7.2 [4.2-11.4],Oceania,7.2
Male,1981,4.8 [1.7-9.8],Oceania,4.8
Female,1981,10.2 [5.1-17.3],Oceania,10.2
Both sexes,1982,7.6 [4.4-11.7],Oceania,7.6
Male,1982,5.0 [1.9-10.1],Oceania,5.0
Female,1982,10.7 [5.5-17.7],Oceania,10.7
Both sexes,1983,7.9 [4.7-12.1],Oceania,7.9
Male,1983,5.3 [2.0-10.3],Oceania,5.3
Female,1983,11.1 [5.9-18.2],Oceania,11.1
Both sexes,1984,8.3 [5.1-12.5],Oceania,8.3
Male,1984,5.5 [2.2-10.7],Oceania,5.5
Female,1984,11.6 [6.3-18.6],Oceania,11.6
Both sexes,1985,8.7 [5.4-12.9],Oceania,8.7
Male,1985,5.8 [2.3-11.0],Oceania,5.8
Female,1985,12.0 [6.7-18.9],Oceania,12.0
Both sexes,1986,9.1 [5.7-13.3],Oceania,9.1
Male,1986,6.1 [2.5-11.4],Oceania,6.1
Female,1986,12.5 [7.1-19.4],Oceania,12.5
Both sexes,1987,9.5 [6.1-13.7],Oceania,9.5
Male,1987,6.4 [2.7-11.8],Oceania,6.4
Female,1987,13.0 [7.5-19.8],Oceania,13.0
Both sexes,1988,9.9 [6.5-14.1],Oceania,9.9
Male,1988,6.7 [2.9-12.2],Oceania,6.7
Female,1988,13.5 [7.9-20.3],Oceania,13.5
Both sexes,1989,10.4 [6.9-14.6],Oceania,10.4
Male,1989,7.1 [3.2-12.6],Oceania,7.1
Female,1989,14.1 [8.4-20.8],Oceania,14.1
Both sexes,1990,10.8 [7.3-15.1],Oceania,10.8
Male,1990,7.4 [3.4-13.0],Oceania,7.4
Female,1990,14.6 [8.9-21.4],Oceania,14.6
Both sexes,1991,11.3 [7.7-15.7],Oceania,11.3
Male,1991,7.8 [3.6-13.5],Oceania,7.8
Female,1991,15.2 [9.4-21.9],Oceania,15.2
Both sexes,1992,11.7 [8.1-16.1],Oceania,11.7
Male,1992,8.1 [3.9-13.9],Oceania,8.1
Female,1992,15.7 [9.9-22.5],Oceania,15.7
Both sexes,1993,12.2 [8.5-16.6],Oceania,12.2
Male,1993,8.5 [4.1-14.3],Oceania,8.5
Female,1993,16.3 [10.5-23.1],Oceania,16.3
Both sexes,1994,12.6 [8.9-17.1],Oceania,12.6
Male,1994,8.9 [4.4-14.8],Oceania,8.9
Female,1994,16.8 [11.0-23.6],Oceania,16.8
Both sexes,1995,13.1 [9.4-17.6],Oceania,13.1
Male,1995,9.2 [4.7-15.2],Oceania,9.2
Female,1995,17.4 [11.5-24.1],Oceania,17.4
Both sexes,1996,13.6 [9.8-18.1],Oceania,13.6
Male,1996,9.6 [5.0-15.7],Oceania,9.6
Female,1996,17.9 [12.1-24.6],Oceania,17.9
Both sexes,1997,14.1 [10.3-18.6],Oceania,14.1
Male,1997,10.0 [5.3-16.2],Oceania,10.0
Female,1997,18.5 [12.7-25.2],Oceania,18.5
Both sexes,1998,14.6 [10.7-19.1],Oceania,14.6
Male,1998,10.5 [5.6-16.7],Oceania,10.5
Female,1998,19.1 [13.3-25.7],Oceania,19.1
Both sexes,1999,15.1 [11.2-19.6],Oceania,15.1
Male,1999,10.9 [6.0-17.2],Oceania,10.9
Female,1999,19.7 [13.8-26.3],Oceania,19.7
Both sexes,2000,15.6 [11.7-20.2],Oceania,15.6
Male,2000,11.3 [6.3-17.7],Oceania,11.3
Female,2000,20.2 [14.3-26.9],Oceania,20.2
Both sexes,2001,16.2 [12.2-20.7],Oceania,16.2
Male,2001,11.8 [6.7-18.1],Oceania,11.8
Female,2001,20.8 [14.8-27.5],Oceania,20.8
Both sexes,2002,16.7 [12.7-21.2],Oceania,16.7
Male,2002,12.3 [7.1-18.7],Oceania,12.3
Female,2002,21.4 [15.4-28.1],Oceania,21.4
Both sexes,2003,17.3 [13.2-21.8],Oceania,17.3
Male,2003,12.7 [7.5-19.2],Oceania,12.7
Female,2003,22.0 [16.0-28.7],Oceania,22.0
Both sexes,2004,17.8 [13.7-22.4],Oceania,17.8
Male,2004,13.2 [7.9-19.8],Oceania,13.2
Female,2004,22.6 [16.5-29.4],Oceania,22.6
Both sexes,2005,18.4 [14.3-23.0],Oceania,18.4
Male,2005,13.7 [8.3-20.3],Oceania,13.7
Female,2005,23.2 [17.0-30.1],Oceania,23.2
Both sexes,2006,19.0 [14.8-23.6],Oceania,19.0
Male,2006,14.2 [8.7-20.9],Oceania,14.2
Female,2006,23.8 [17.6-30.9],Oceania,23.8
Both sexes,2007,19.5 [15.3-24.3],Oceania,19.5
Male,2007,14.8 [9.0-21.5],Oceania,14.8
Female,2007,24.4 [18.1-31.6],Oceania,24.4
Both sexes,2008,20.1 [15.8-25.0],Oceania,20.1
Male,2008,15.3 [9.5-22.2],Oceania,15.3
Female,2008,25.0 [18.7-32.2],Oceania,25.0
