Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,9.6 [5.9-14.1],South America,9.6
Male,1975,5.9 [2.7-11.2],South America,5.9
Female,1975,13.2 [7.1-20.7],South America,13.2
Both sexes,1976,9.9 [6.3-14.3],South America,9.9
Male,1976,6.3 [2.9-11.5],South America,6.3
Female,1976,13.6 [7.5-21.0],South America,13.6
Both sexes,1977,10.3 [6.7-14.6],South America,10.3
Male,1977,6.6 [3.2-11.7],South America,6.6
Female,1977,14.0 [8.0-21.3],South America,14.0
Both sexes,1978,10.7 [7.0-14.9],South America,10.7
Male,1978,6.9 [3.5-11.9],South America,6.9
Female,1978,14.4 [8.4-21.4],South America,14.4
Both sexes,1979,11.0 [7.4-15.2],South America,11.0
Male,1979,7.2 [3.7-12.2],South America,7.2
Female,1979,14.8 [8.9-21.7],South America,14.8
Both sexes,1980,11.4 [7.8-15.5],South America,11.4
Male,1980,7.6 [4.0-12.6],South America,7.6
Female,1980,15.2 [9.4-21.9],South America,15.2
Both sexes,1981,11.8 [8.2-15.9],South America,11.8
Male,1981,7.9 [4.3-12.9],South America,7.9
Female,1981,15.6 [9.8-22.1],South America,15.6
Both sexes,1982,12.2 [8.6-16.2],South America,12.2
Male,1982,8.3 [4.6-13.2],South America,8.3
Female,1982,16.0 [10.3-22.6],South America,16.0
Both sexes,1983,12.6 [9.0-16.6],South America,12.6
Male,1983,8.6 [4.9-13.6],South America,8.6
Female,1983,16.4 [10.7-22.8],South America,16.4
Both sexes,1984,12.9 [9.4-17.0],South America,12.9
Male,1984,9.0 [5.2-14.0],South America,9.0
Female,1984,16.8 [11.1-23.1],South America,16.8
Both sexes,1985,13.3 [9.8-17.3],South America,13.3
Male,1985,9.4 [5.6-14.5],South America,9.4
Female,1985,17.2 [11.6-23.4],South America,17.2
Both sexes,1986,13.7 [10.2-17.7],South America,13.7
Male,1986,9.8 [5.9-14.9],South America,9.8
Female,1986,17.6 [12.0-23.8],South America,17.6
Both sexes,1987,14.1 [10.6-18.1],South America,14.1
Male,1987,10.1 [6.2-15.3],South America,10.1
Female,1987,18.0 [12.4-24.1],South America,18.0
Both sexes,1988,14.5 [11.0-18.4],South America,14.5
Male,1988,10.5 [6.6-15.7],South America,10.5
Female,1988,18.4 [12.8-24.5],South America,18.4
Both sexes,1989,14.9 [11.4-18.8],South America,14.9
Male,1989,10.9 [6.9-16.2],South America,10.9
Female,1989,18.8 [13.3-24.9],South America,18.8
Both sexes,1990,15.3 [11.8-19.2],South America,15.3
Male,1990,11.4 [7.2-16.6],South America,11.4
Female,1990,19.2 [13.7-25.2],South America,19.2
Both sexes,1991,15.8 [12.2-19.6],South America,15.8
Male,1991,11.8 [7.6-17.0],South America,11.8
Female,1991,19.6 [14.2-25.5],South America,19.6
Both sexes,1992,16.2 [12.7-20.0],South America,16.2
Male,1992,12.2 [7.9-17.5],South America,12.2
Female,1992,20.0 [14.6-25.9],South America,20.0
Both sexes,1993,16.6 [13.1-20.4],South America,16.6
Male,1993,12.6 [8.3-18.0],South America,12.6
Female,1993,20.4 [15.0-26.2],South America,20.4
Both sexes,1994,17.0 [13.5-20.8],South America,17.0
Male,1994,13.0 [8.7-18.4],South America,13.0
Female,1994,20.8 [15.5-26.4],South America,20.8
Both sexes,1995,17.4 [13.9-21.2],South America,17.4
Male,1995,13.5 [9.1-18.7],South America,13.5
Female,1995,21.1 [15.9-26.8],South America,21.1
Both sexes,1996,17.8 [14.3-21.5],South America,17.8
