Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,0.1 [0.0-0.3],Southeast Asia,0.1
Male,1975,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1975,0.2 [0.1-0.5],Southeast Asia,0.2
Both sexes,1976,0.1 [0.1-0.3],Southeast Asia,0.1
Male,1976,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1976,0.2 [0.1-0.5],Southeast Asia,0.2
Both sexes,1977,0.2 [0.1-0.3],Southeast Asia,0.2
Male,1977,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1977,0.2 [0.1-0.5],Southeast Asia,0.2
Both sexes,1978,0.2 [0.1-0.3],Southeast Asia,0.2
Male,1978,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1978,0.2 [0.1-0.6],Southeast Asia,0.2
Both sexes,1979,0.2 [0.1-0.3],Southeast Asia,0.2
Male,1979,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1979,0.3 [0.1-0.6],Southeast Asia,0.3
Both sexes,1980,0.2 [0.1-0.4],Southeast Asia,0.2
Male,1980,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1980,0.3 [0.1-0.6],Southeast Asia,0.3
Both sexes,1981,0.2 [0.1-0.4],Southeast Asia,0.2
Male,1981,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1981,0.3 [0.1-0.6],Southeast Asia,0.3
Both sexes,1982,0.2 [0.1-0.4],Southeast Asia,0.2
Male,1982,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1982,0.3 [0.1-0.6],Southeast Asia,0.3
Both sexes,1983,0.2 [0.1-0.4],Southeast Asia,0.2
Male,1983,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1983,0.3 [0.1-0.6],Southeast Asia,0.3
Both sexes,1984,0.2 [0.1-0.4],Southeast Asia,0.2
Male,1984,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1984,0.3 [0.1-0.7],Southeast Asia,0.3
Both sexes,1985,0.2 [0.1-0.4],Southeast Asia,0.2
Male,1985,0.1 [0.0-0.2],Southeast Asia,0.1
Female,1985,0.4 [0.2-0.7],Southeast Asia,0.4
Both sexes,1986,0.3 [0.1-0.4],Southeast Asia,0.3
Male,1986,0.1 [0.0-0.3],Southeast Asia,0.1
Female,1986,0.4 [0.2-0.7],Southeast Asia,0.4
Both sexes,1987,0.3 [0.1-0.5],Southeast Asia,0.3
Male,1987,0.1 [0.0-0.3],Southeast Asia,0.1
Female,1987,0.4 [0.2-0.7],Southeast Asia,0.4
Both sexes,1988,0.3 [0.2-0.5],Southeast Asia,0.3
Male,1988,0.1 [0.1-0.3],Southeast Asia,0.1
Female,1988,0.4 [0.2-0.8],Southeast Asia,0.4
Both sexes,1989,0.3 [0.2-0.5],Southeast Asia,0.3
Male,1989,0.1 [0.1-0.3],Southeast Asia,0.1
Female,1989,0.4 [0.2-0.8],Southeast Asia,0.4
Both sexes,1990,0.3 [0.2-0.5],Southeast Asia,0.3
Male,1990,0.2 [0.1-0.3],Southeast Asia,0.2
Female,1990,0.5 [0.2-0.8],Southeast Asia,0.5
Both sexes,1991,0.3 [0.2-0.6],Southeast Asia,0.3
Male,1991,0.2 [0.1-0.3],Southeast Asia,0.2
Female,1991,0.5 [0.2-0.9],Southeast Asia,0.5
Both sexes,1992,0.4 [0.2-0.6],Southeast Asia,0.4
Male,1992,0.2 [0.1-0.4],Southeast Asia,0.2
Female,1992,0.5 [0.3-0.9],Southeast Asia,0.5
Both sexes,1993,0.4 [0.2-0.6],Southeast Asia,0.4
Male,1993,0.2 [0.1-0.4],Southeast Asia,0.2
Female,1993,0.6 [0.3-1.0],Southeast Asia,0.6
Both sexes,1994,0.4 [0.3-0.7],Southeast Asia,0.4
Male,1994,0.2 [0.1-0.4],Southeast Asia,0.2
Female,1994,0.6 [0.3-1.0],Southeast Asia,0.6
Both sexes,1995,0.5 [0.3-0.7],Southeast Asia,0.5
Male,1995,0.2 [0.1-0.4],Southeast Asia,0.2
Female,1995,0.6 [0.3-1.1],Southeast Asia,0.6
Both sexes,1996,0.5 [0.3-0.7],Southeast Asia,0.5
Male,1996,0.3 [0.1-0.5],Southeast Asia,0.3
Female,1996,0.7 [0.4-1.1],Southeast Asia,0.7
Both sexes,1997,0.5 [0.3-0.8],Southeast Asia,0.5
Male,1997,0.3 [0.1-0.5],Southeast Asia,0.3
Female,1997,0.7 [0.4-1.2],Southeast Asia,0.7
Both sexes,1998,0.6 [0.4-0.8],Southeast Asia,0.6
Male,1998,0.3 [0.2-0.5],Southeast Asia,0.3
Female,1998,0.8 [0.4-1.3],Southeast Asia,0.8
