Sex,Year,Obesity (%),Region,BMI
Both sexes,1975,3.7 [1.7-6.5],Southern Africa,3.7
Male,1975,0.4 [0.1-1.3],Southern Africa,0.4
Female,1975,6.7 [3.0-12.2],Southern Africa,6.7
Both sexes,1976,3.9 [1.9-6.7],Southern Africa,3.9
Male,1976,0.5 [0.1-1.3],Southern Africa,0.5
Female,1976,7.0 [3.3-12.4],Southern Africa,7.0
Both sexes,1977,4.0 [2.1-6.8],Southern Africa,4.0
Male,1977,0.5 [0.1-1.3],Southern Africa,0.5
Female,1977,7.4 [3.6-12.7],Southern Africa,7.4
Both sexes,1978,4.2 [2.3-7.0],Southern Africa,4.2
Male,1978,0.5 [0.1-1.4],Southern Africa,0.5
Female,1978,7.7 [3.9-13.1],Southern Africa,7.7
Both sexes,1979,4.4 [2.4-7.2],Southern Africa,4.4
Male,1979,0.6 [0.2-1.4],Southern Africa,0.6
Female,1979,8.1 [4.3-13.4],Southern Africa,8.1
Both sexes,1980,4.7 [2.6-7.4],Southern Africa,4.7
Male,1980,0.6 [0.2-1.5],Southern Africa,0.6
Female,1980,8.4 [4.6-13.7],Southern Africa,8.4
Both sexes,1981,4.9 [2.8-7.6],Southern Africa,4.9
Male,1981,0.7 [0.2-1.6],Southern Africa,0.7
Female,1981,8.8 [5.0-14.1],Southern Africa,8.8
Both sexes,1982,5.1 [3.1-7.8],Southern Africa,5.1
Male,1982,0.7 [0.2-1.6],Southern Africa,0.7
Female,1982,9.2 [5.3-14.5],Southern Africa,9.2
Both sexes,1983,5.3 [3.3-8.0],Southern Africa,5.3
Male,1983,0.8 [0.3-1.7],Southern Africa,0.8
Female,1983,9.6 [5.7-14.9],Southern Africa,9.6
Both sexes,1984,5.6 [3.5-8.3],Southern Africa,5.6
Male,1984,0.8 [0.3-1.8],Southern Africa,0.8
Female,1984,10.1 [6.1-15.3],Southern Africa,10.1
Both sexes,1985,5.8 [3.8-8.5],Southern Africa,5.8
Male,1985,0.9 [0.3-1.9],Southern Africa,0.9
Female,1985,10.5 [6.5-15.7],Southern Africa,10.5
Both sexes,1986,6.1 [4.0-8.7],Southern Africa,6.1
Male,1986,0.9 [0.4-2.0],Southern Africa,0.9
Female,1986,11.0 [7.0-16.1],Southern Africa,11.0
Both sexes,1987,6.4 [4.3-9.0],Southern Africa,6.4
Male,1987,1.0 [0.4-2.1],Southern Africa,1.0
Female,1987,11.4 [7.4-16.5],Southern Africa,11.4
Both sexes,1988,6.7 [4.5-9.3],Southern Africa,6.7
Male,1988,1.1 [0.4-2.2],Southern Africa,1.1
Female,1988,11.9 [7.9-17.0],Southern Africa,11.9
Both sexes,1989,7.0 [4.8-9.6],Southern Africa,7.0
Male,1989,1.2 [0.5-2.4],Southern Africa,1.2
Female,1989,12.4 [8.4-17.6],Southern Africa,12.4
Both sexes,1990,7.3 [5.1-9.9],Southern Africa,7.3
Male,1990,1.3 [0.5-2.5],Southern Africa,1.3
Female,1990,12.9 [8.9-18.0],Southern Africa,12.9
Both sexes,1991,7.6 [5.4-10.2],Southern Africa,7.6
Male,1991,1.4 [0.6-2.6],Southern Africa,1.4
Female,1991,13.4 [9.4-18.5],Southern Africa,13.4
Both sexes,1992,7.9 [5.7-10.6],Southern Africa,7.9
Male,1992,1.5 [0.6-2.8],Southern Africa,1.5
Female,1992,14.0 [9.9-19.0],Southern Africa,14.0
Both sexes,1993,8.2 [6.0-10.9],Southern Africa,8.2
Male,1993,1.6 [0.7-2.9],Southern Africa,1.6
Female,1993,14.5 [10.3-19.5],Southern Africa,14.5
Both sexes,1994,8.5 [6.3-11.2],Southern Africa,8.5
Male,1994,1.7 [0.8-3.1],Southern Africa,1.7
Female,1994,15.0 [10.8-20.0],Southern Africa,15.0
Both sexes,1995,8.9 [6.6-11.5],Southern Africa,8.9
Male,1995,1.8 [0.8-3.2],Southern Africa,1.8
Female,1995,15.5 [11.3-20.5],Southern Africa,15.5
Both sexes,1996,9.2 [6.9-11.9],Southern Africa,9.2
Male,1996,1.9 [0.9-3.4],Southern Africa,1.9
Female,1996,16.0 [11.8-21.1],Southern Africa,16.0
Both sexes,1997,9.5 [7.2-12.2],Southern Africa,9.5
Male,1997,2.0 [1.0-3.6],Southern Africa,2.0
Female,1997,16.5 [12.2-21.6],Southern Africa,16.5
Both sexes,1998,9.9 [7.5-12.6],Southern Africa,9.9
Male,1998,2.1 [1.0-3.8],Southern Africa,2.1
Female,1998,17.0 [12.7-22.1],Southern Africa,17.0
Both sexes,1999,10.2 [7.8-12.9],Southern Africa,10.2
Male,1999,2.3 [1.1-4.0],Southern Africa,2.3
Female,1999,17.5 [13.2-22.6],Southern Africa,17.5
Both sexes,2000,10.5 [8.1-13.3],Southern Africa,10.5
Male,2000,2.4 [1.2-4.1],Southern Africa,2.4
Female,2000,18.0 [13.6-23.1],Southern Africa,18.0
Both sexes,2001,10.9 [8.4-13.6],Southern Africa,10.9
Male,2001,2.5 [1.3-4.3],Southern Africa,2.5
Female,2001,18.5 [14.1-23.7],Southern Africa,18.5
