Country,Obesity (%),BMI,Region
Afghanistan,3.2 [1.3-6.4],3.2,South Asia
Albania,21.6 [14.8-29.0],21.6,Balkans
Algeria,19.9 [13.6-27.1],19.9,North Africa
Andorra,25.9 [18.0-34.3],25.9,Southern Europe
Angola,4.0 [1.6-7.9],4.0,Southern Africa
Antigua and Barbuda,11.6 [6.4-18.6],11.6,Caribbean
Argentina,27.3 [20.5-35.0],27.3,South America
Armenia,17.1 [11.1-24.0],17.1,Eastern Europe
Australia,29.6 [24.2-35.3],29.6,Oceania
Austria,21.9 [15.6-29.0],21.9,Eastern Europe
Azerbaijan,15.8 [9.9-22.9],15.8,Eastern Europe
Bahamas,24.4 [16.2-33.4],24.4,Caribbean
Bahrain,25.5 [18.3-32.7],25.5,Middle East
Bangladesh,2.3 [1.1-4.0],2.3,South Asia
Barbados,14.7 [9.4-21.4],14.7,Caribbean
Belarus,22.1 [15.1-29.5],22.1,Eastern Europe
Belgium,23.1 [18.0-28.6],23.1,Western Europe
Belize,16.5 [10.4-24.1],16.5,Central America
Benin,4.7 [2.4-7.9],4.7,West Africa
Bhutan,4.7 [2.3-8.2],4.7,South Asia
Bolivia (Plurinational State of),14.5 [8.4-22.1],14.5,South America
Bosnia and Herzegovina,17.1 [11.6-23.5],17.1,Balkans
Botswana,8.1 [4.5-12.9],8.1,Southern Africa
Brazil,18.5 [14.1-23.5],18.5,South America
Brunei Darussalam,12.5 [7.8-18.3],12.5,Southeast Asia
Bulgaria,25.5 [18.2-33.3],25.5,Balkans
Burkina Faso,2.6 [1.2-4.7],2.6,West Africa
Burundi,2.1 [0.8-4.3],2.1,East Africa
Cabo Verde,6.9 [3.6-11.3],6.9,West Africa
Cambodia,2.7 [1.2-5.2],2.7,Southeast Asia
Cameroon,6.1 [3.4-9.8],6.1,Central Africa
Canada,29.5 [24.1-35.0],29.5,North America
Central African Republic,3.7 [1.6-6.9],3.7,Central Africa
Chad,3.1 [1.5-5.6],3.1,North Africa
Chile,24.9 [18.5-31.7],24.9,South America
China,5.9 [3.9-8.4],5.9,East Asia
Colombia,17.6 [12.4-23.3],17.6,South America
Comoros,3.3 [1.5-6.1],3.3,Southern Africa
Congo,5.5 [2.6-9.8],5.5,Central Africa
Cook Islands,52.6 [44.2-60.6],52.6,Oceania
Costa Rica,21.1 [14.9-27.8],21.1,Central America
Croatia,24.1 [17.9-31.0],24.1,Balkans
Cuba,18.9 [13.0-25.3],18.9,Caribbean
Cyprus,21.9 [14.6-30.0],21.9,Balkans
Czechia,26.4 [19.6-33.7],26.4,Eastern Europe
Côte d'Ivoire,5.8 [3.1-9.7],5.8,West Africa
Democratic People's Republic of Korea,6.1 [2.9-10.8],6.1,East Asia
Democratic Republic of the Congo,3.6 [1.5-6.8],3.6,Central Africa
Denmark,22.3 [17.5-27.5],22.3,Northern Europe
Djibouti,8.6 [4.3-14.5],8.6,East Africa
Dominica,19.9 [13.1-27.7],19.9,Caribbean
Dominican Republic,21.0 [14.4-28.1],21.0,Caribbean
Ecuador,14.9 [9.2-21.8],14.9,South America
Egypt,22.7 [16.9-29.0],22.7,North Africa
El Salvador,18.9 [12.2-26.5],18.9,Central America
Equatorial Guinea,3.8 [1.5-7.6],3.8,Central Africa
Eritrea,2.0 [0.9-3.9],2.0,East Africa
Estonia,20.3 [15.4-25.7],20.3,Eastern Europe
Eswatini,5.4 [2.8-9.1],5.4,Southern Africa
Ethiopia,1.9 [0.8-3.7],1.9,East Africa
Fiji,25.1 [17.4-33.3],25.1,Oceania
Finland,23.7 [18.7-29.1],23.7,Northern Europe
France,22.0 [16.0-28.5],22.0,Western Europe
Gabon,9.6 [4.6-16.5],9.6,Central Africa
Gambia,5.6 [2.9-9.3],5.6,West Africa
Georgia,19.2 [13.1-26.3],19.2,Eastern Europe
Germany,24.2 [19.0-29.5],24.2,Northern Europe
Ghana,4.5 [2.6-7.1],4.5,West Africa
Greece,24.2 [17.3-31.3],24.2,Balkans
Grenada,13.3 [7.9-20.1],13.3,Caribbean
Guatemala,15.1 [9.6-21.6],15.1,Central America
Guinea,3.7 [1.8-6.4],3.7,West Africa
Guinea-Bissau,5.0 [2.4-8.9],5.0,West Africa
Guyana,12.7 [7.4-19.5],12.7,South America
Haiti,17.9 [11.3-26.0],17.9,Caribbean
Honduras,15.6 [9.8-22.6],15.6,Central America
Hungary,28.2 [21.2-35.6],28.2,Eastern Europe
Iceland,24.2 [18.4-30.5],24.2,Northern Europe
India,2.7 [1.7-4.0],2.7,South Asia
Indonesia,4.8 [2.8-7.5],4.8,Southeast Asia
Iran (Islamic Republic of),19.3 [15.0-23.8],19.3,Central Asia
Iraq,23.4 [17.0-30.4],23.4,Middle East
Ireland,25.1 [18.6-31.7],25.1,Western Europe
Israel,25.9 [19.0-33.2],25.9,Middle East
Italy,20.1 [15.3-25.2],20.1,Southern Europe
Jamaica,15.3 [10.1-21.6],15.3,Caribbean
Japan,4.8 [3.2-6.8],4.8,East Asia
Jordan,28.2 [21.9-34.5],28.2,Middle East
Kazakhstan,18.9 [13.1-25.6],18.9,Central Asia
Kenya,2.8 [1.3-5.2],2.8,East Africa
Kiribati,41.6 [32.6-50.9],41.6,Oceania
Kuwait,33.3 [27.0-39.7],33.3,Middle East
Kyrgyzstan,14.0 [8.3-21.0],14.0,Central Asia
Lao People's Democratic Republic,3.7 [1.9-6.5],3.7,Southeast Asia
Latvia,21.6 [14.5-29.6],21.6,Eastern Europe
Lebanon,27.4 [20.2-35.0],27.4,Middle East
Lesotho,4.6 [2.5-7.8],4.6,Southern Africa
Liberia,5.5 [2.9-9.1],5.5,West Africa
Libya,25.0 [18.0-32.6],25.0,North Africa
Lithuania,24.2 [17.5-31.6],24.2,Eastern Europe
Luxembourg,24.5 [17.4-32.0],24.5,Western Europe
Madagascar,3.0 [1.4-5.4],3.0,Southern Africa
Malawi,2.2 [0.9-4.3],2.2,Southern Africa
Malaysia,13.0 [9.2-17.6],13.0,Southeast Asia
Maldives,5.8 [3.2-9.7],5.8,South Asia
Mali,4.6 [2.3-7.9],4.6,North Africa
Malta,29.2 [21.3-37.5],29.2,Southern Europe
Marshall Islands,48.4 [39.2-57.4],48.4,Oceania
Mauritania,6.6 [3.5-10.8],6.6,North Africa
